bloque_decision,cobertura_next,accion_recomendada,esfuerzo,riesgo_seo,familia,normalized_path,ruta_next,redirect_es_sugerido,redirect_en_si_se_copia,nota,urls_agrupadas,ejemplo_url,path_decoded,first_segment,depth,environments,crawl_hits,seen_in_next_crawl,seen_in_sitefinity,protocol
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,subscriptions,/subscriptions,/subscriptions,,,Greybox/newsletter gated EN en algunas de estas superficies,1,http://www.fxstreet.es/subscriptions,/subscriptions,subscriptions,1,sitefinity,2,no,yes,http+https
7_ya_cubierto,cubierto_next,OK (rss via redirects rss-v2),nulo,bajo,transparency-translations,/transparency-translations,/transparency-translations,,,Greybox/newsletter gated EN en algunas de estas superficies,1,http://www.fxstreet.es/transparency-translations,/transparency-translations,transparency-translations,1,sitefinity,2,no,yes,http+https
7_ya_cubierto,cubierto_next,OK,nulo,bajo,education,/education,/education,,,"Menu ES apunta a curso-forex, no al listing",1,https://www.fxstreet.es/education,/education,education,1,sitefinity,2,no,yes,https
7_ya_cubierto,cubierto_next,OK,nulo,bajo,macro,/macroeconomics/central-banks/[slug],/macroeconomics/central-banks/boc,,,Agrupadas 8 filas con la misma decision (8 URLs del scrap).,8,https://www.fxstreet.es/macroeconomics/central-banks/boc,/macroeconomics/central-banks/[slug],macroeconomics,3,sitefinity,16,no,yes,http+https
7_ya_cubierto,cubierto_next,OK,nulo,bajo,macro,/macroeconomics/trade-war,/macroeconomics/trade-war,,,No aparecia en el scrap ES. Ruta Next con copy ES en trade-war.es.json.,1,https://www.fxstreet.es/macroeconomics/trade-war,/macroeconomics/trade-war,macroeconomics,2,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK,nulo,bajo,rates,/rates-charts,/rates-charts,,,,1,https://www.fxstreet.es/rates-charts,/rates-charts,rates-charts,1,sitefinity,3,no,yes,https
6_checklist_CMS,cubierto_next_dinamico,OK,nulo,bajo,crypto,/cryptocurrencies/[slug],/cryptocurrencies/[slug],,,Agrupadas 6 URLs del scrap bajo este patron [slug]. No se listan una a una.,6,https://www.fxstreet.es/cryptocurrencies/bitcoin,/cryptocurrencies/[slug],cryptocurrencies,2,sitefinity,12,no,yes,http+https
6_checklist_CMS,cubierto_next_dinamico,OK,nulo,bajo,rates,/rates-charts/[slug],/rates-charts/[slug],,,Agrupadas 21 URLs del scrap bajo este patron [slug]. No se listan una a una.,21,https://www.fxstreet.es/rates-charts/audnzd,/rates-charts/[slug],rates-charts,2,sitefinity,39,no,yes,http+https
6_checklist_CMS,cubierto_next_dinamico,OK,nulo,bajo,rates,/rates-charts/chart,/rates-charts/chart,,,,1,https://www.fxstreet.es/rates-charts/chart,/rates-charts/chart,rates-charts,2,sitefinity,2,no,yes,https
6_checklist_CMS,cubierto_next_dinamico,OK,nulo,bajo,rates,/rates-charts/chart-interactive,/rates-charts/chart-interactive,,,,1,https://www.fxstreet.es/rates-charts/chart-interactive,/rates-charts/chart-interactive,rates-charts,2,sitefinity,1,no,yes,https
6_checklist_CMS,cubierto_next_dinamico,OK,nulo,bajo,rates,/rates-charts/forecast,/rates-charts/forecast,,,,1,https://www.fxstreet.es/rates-charts/forecast,/rates-charts/forecast,rates-charts,2,sitefinity,2,no,yes,https
6_checklist_CMS,cubierto_next_dinamico,OK,nulo,bajo,rates,/rates-charts/indicators,/rates-charts/indicators,,,,1,https://www.fxstreet.es/rates-charts/indicators,/rates-charts/indicators,rates-charts,2,sitefinity,2,no,yes,https
6_checklist_CMS,cubierto_next_dinamico,OK,nulo,bajo,rates,/rates-charts/rates,/rates-charts/rates,,,,1,https://www.fxstreet.es/rates-charts/rates,/rates-charts/rates,rates-charts,2,sitefinity,2,no,yes,https
5_redirects_EN_reutilizables,redirect_middleware,Middleware EN ya reescribe /rates-charts/:asset/chart,nulo,bajo,rates,/rates-charts/nzdusd/chart,/rates-charts/nzdusd,/rates-charts/nzdusd,/rates-charts/nzdusd,middleware.ts chart-to-asset,1,https://www.fxstreet.es/rates-charts/nzdusd/chart,/rates-charts/nzdusd/chart,rates-charts,3,unknown,1,no,no,https
7_ya_cubierto,cubierto_next,latest ya redirige en EN,nulo,bajo,education,/education/feed,/education/feed,/education/feed,,,1,http://www.fxstreet.es/education/feed,/education/feed,education,2,sitefinity,2,no,yes,http+https
4_redirects_a_definir,parcial_next,"Tabs/secciones rates (majors, indices, crosses) pueden no tener URL propia",medio,medio,rates,/rates-charts/rates/{majors|indices|crosses},/rates-charts/rates,/rates-charts/rates,,Agrupadas 3 filas con la misma decision (3 URLs del scrap).,3,https://www.fxstreet.es/rates-charts/rates/crosses/gbp,/rates-charts/rates/{majors|indices|crosses},rates-charts,varia,sitefinity|unknown,3,no,yes,http+https
4_redirects_a_definir,no_en_next,Redirect al vertical correcto (news/analysis/education),medio,medio,post_sin_vertical,/pronostico-del-precio-del-usd-cad-el-aumento-de-los-precios-del-petroleo-fortalece-al-dolar-canadiense-202607130702,/news/[slug] o /analysis/[slug],,,Post con timestamp en raiz; SEO,1,https://www.fxstreet.es/pronostico-del-precio-del-usd-cad-el-aumento-de-los-precios-del-petroleo-fortalece-al-dolar-canadiense-202607130702,/pronostico-del-precio-del-usd-cad-el-aumento-de-los-precios-del-petroleo-fortalece-al-dolar-canadiense-202607130702,pronostico-del-precio-del-usd-cad-el-aumento-de-los-precios-del-petroleo-fortalece-al-dolar-canadiense-202607130702,1,unknown,1,no,no,https
2_decision_producto,gated_en_only,Quitar notFound locale!==en o no publicar PR en ES,medio,alto,press_releases,/press-releases,/press-releases,,,42 URLs ES en scrap; page.tsx bloquea locale!=en. Menu ES enlaza /press-releases,1,http://www.fxstreet.es/press-releases,/press-releases,press-releases,1,sitefinity,2,no,yes,http+https
2_decision_producto,gated_en_only,Quitar notFound locale!==en o no publicar PR en ES,medio,alto,press_releases,/press-releases/[slug],/press-releases/[slug],,,42 URLs ES en scrap; page.tsx bloquea locale!=en. Menu ES enlaza /press-releases | Agrupadas 41 URLs del scrap bajo este patron [slug]. No se listan una a una.,41,https://www.fxstreet.es/press-releases/2025-marco-el-cambio-de-spotware-mas-alla-de-un-solo-producto-202601261439,/press-releases/[slug],press-releases,2,sitefinity,41,no,yes,http+https
3_urls_EN_en_site_ES,cubierto_next_url_en,En ES el canonico deberia ser /calendario-economico/event/{slug}; redirect cruzado,medio,alto,calendario,/economic-calendar/event/[slug],/economic-calendar/event/[slug],(por slug),,Pagina Next vive bajo economic-calendar; helpers ES apuntan a calendario-economico | Agrupadas 23 URLs del scrap bajo este patron [slug]. No se listan una a una.,23,https://www.fxstreet.es/economic-calendar/event/boc-mpr,/economic-calendar/event/[slug],economic-calendar,3,unknown,23,no,no,http+https
6_checklist_CMS,cubierto_next_dinamico,"Depende de showcases en gateway ES; algunos slugs del scrap son categorias (fees, for, accounts)",medio,medio,brokers_showcases,/brokers/best/[slug],/brokers/best/[slug],,,EN tiene redirects de /brokers/{old} a /brokers/best/{old} | Agrupadas 45 URLs del scrap bajo este patron [slug]. No se listan una a una.,45,https://www.fxstreet.es/brokers/best/accounts,/brokers/best/[slug],brokers,3,next|unknown,45,yes,no,http+https
2_decision_producto,redirect_en_catch_all,"Decidir: mismo catch-all EN o mantener paginas ES (elliott, S/R) que siguen en el menu",medio,alto,analisis_tecnico_legacy,/technical-analysis/*,/rates-charts/indicators,/rates-charts/indicators,/rates-charts/indicators,EN: /technical-analysis/:path* -> indicators. Nav ES sigue enlazando S/R y elliott-wave | Agrupadas 6 filas con la misma decision (6 URLs del scrap).,6,https://www.fxstreet.es/technical-analysis,/technical-analysis/*,technical-analysis,varia,sitefinity,8,no,yes,http+https
4_redirects_a_definir,no_en_next,"Confirmar si country GUID mapea a calendar-guide slug; si no, redirect al calendario",medio,medio,calendario,/economic-calendar/[slug],/economic-calendar/[slug],/calendario-economico,,"Scrap: UUIDs de pais, no slugs | Agrupadas 3 URLs del scrap bajo este patron [slug]. No se listan una a una.",3,https://www.fxstreet.es/economic-calendar/country/89d5f89c-a5d5-40cc-8690-9725de83504d,/economic-calendar/[slug],economic-calendar,3,unknown,3,no,no,http+https
7_ya_cubierto,cubierto_next,Verificar copy ES legal,bajo,bajo,info,/info/* (legal y corporativo cubierto),/info/about-us,,,Bundles i18n ES existen para la mayoria | Agrupadas 13 filas con la misma decision (13 URLs del scrap).,13,https://www.fxstreet.es/info/about-us,/info/* (legal y corporativo cubierto),info,2,sitefinity|unknown,22,no,yes,http+https
7_ya_cubierto,cubierto_next,Verificar copy ES legal,bajo,bajo,info,/info/premium-terms-and-conditions,/info/premium-terms-and-conditions,,,No estaba en el grupo /info del scrap (13 paginas). page.tsx + bundle ES existen.,1,https://www.fxstreet.es/info/premium-terms-and-conditions,/info/premium-terms-and-conditions,info,2,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next_url_en,Valorar aliases ES bajo /calendario-economico/... o dejar path EN (nav ES ya usa path EN),bajo,bajo,calendario,/economic-calendar/{fed-sentiment-index|forex-market-hours|world-interest-rates},/economic-calendar/fed-sentiment-index,,,Menu ES ya enlaza estas URLs en ingles | Agrupadas 3 filas con la misma decision (3 URLs del scrap).,3,https://www.fxstreet.es/economic-calendar/fed-sentiment-index,/economic-calendar/{fed-sentiment-index|forex-market-hours|world-interest-rates},economic-calendar,2,sitefinity|unknown,5,no,yes,http+https
4_redirects_a_definir,no_en_next,Redirect home o education,bajo,bajo,legacy,/events/strategy,,/,,,1,https://www.fxstreet.es/events/strategy,/events/strategy,events,2,sitefinity,2,no,yes,https
4_redirects_a_definir,equivalente_next,Redirect ES a tipos de interes mundiales,bajo,bajo,legacy_macro,/fundamental/tabla-tipos-interes,/economic-calendar/world-interest-rates,/economic-calendar/world-interest-rates,,Nav ES no usa esta URL; es legado Sitefinity,1,http://www.fxstreet.es/fundamental/tabla-tipos-interes,/fundamental/tabla-tipos-interes,fundamental,2,unknown,1,no,no,http
4_redirects_a_definir,no_en_next,Redirect a news?Tags=Bonds o /rates-charts; no hay vertical bonds,bajo,bajo,vertical_ausente,/bonds,,/news?Tags=Bonds,,,1,https://www.fxstreet.es/bonds,/bonds,bonds,1,sitefinity,2,no,yes,https
4_redirects_a_definir,equivalente_next,Redirect a listing,bajo,bajo,brokers,/brokers/brokers-forex,/brokers,/brokers,,,1,http://www.fxstreet.es/brokers/brokers-forex,/brokers/brokers-forex,brokers,2,unknown,1,no,no,http
4_redirects_a_definir,no_en_next,Redirect a about-us o pagina externa de empleo,bajo,bajo,info,/info/jobs,,/info/about-us,,,1,http://www.fxstreet.es/info/jobs,/info/jobs,info,2,unknown,2,no,no,http+https
4_redirects_a_definir,no_en_next,Redirect a /brokers o pagina info regulacion,bajo,medio,brokers,/brokers/organismos-reguladores,,/brokers,,URL ES-only,1,http://www.fxstreet.es/brokers/organismos-reguladores,/brokers/organismos-reguladores,brokers,2,unknown,1,no,no,http
4_redirects_a_definir,equivalente_next,Redirect 301 a advertising-model,bajo,bajo,info,/info/advertising-and-sponsorship,/info/advertising-model,/info/advertising-model,,,1,http://www.fxstreet.es/info/advertising-and-sponsorship,/info/advertising-and-sponsorship,info,2,unknown,2,no,no,http+https
4_redirects_a_definir,no_en_next_raiz,Redirect 301 a /brokers/best/{slug} si el showcase existe,bajo,medio,seo_brokers_raiz,/[seo-broker-landing],/brokers/best/beginners-brokers-australia,(por slug),,Landings SEO en raiz; en Next viven bajo /brokers/best/ | Agrupadas 26 filas con la misma decision (26 URLs del scrap).,26,https://www.fxstreet.es/beginners-brokers-australia,/[seo-broker-landing],varia,1,unknown,26,no,no,http+https
4_redirects_a_definir,typo_legacy,Redirect /educacion -> /education (o curso-forex),bajo,medio,curso_forex,/educacion/*,/education/curso-forex,/education/curso-forex,,Path historico con typo; curso estructurado no existe en Next | Agrupadas 4 filas con la misma decision (4 URLs del scrap).,4,https://www.fxstreet.es/educacion,/educacion/*,educacion,varia,unknown,4,no,no,http+https
2_decision_producto,gated_en_only,Quitar notFound locale!==en o no enlazar en nav ES (nav ES ya no la tiene),bajo,bajo,crypto,/cryptocurrencies/industry-news,/cryptocurrencies/industry-news,,,No aparecia en el scrap ES. page.tsx hace notFound si locale!=en. Ruta Next existente.,1,https://www.fxstreet.es/cryptocurrencies/industry-news,/cryptocurrencies/industry-news,cryptocurrencies,2,next_codigo,0,no,no,https
4_redirects_a_definir,cubierto_next,QA login/registro/password/checkout/datos extra en locale es,bajo,bajo,account,/account/{signup|additional-data|manage-password|premium-checkout},/account/[accion],,,No aparecian en el scrap ES (solo /account/login). Cuatro page.tsx de cuenta en app/account/.,4,https://www.fxstreet.es/account/signup,/account/{signup|additional-data|manage-password|premium-checkout},account,2,next_codigo,0,no,no,https
6_checklist_CMS,cubierto_next_dinamico,OK si slug existe en gateway ES,bajo,bajo,brokers,/brokers/[slug],/brokers/[slug],,,Agrupadas 3 URLs del scrap bajo este patron [slug]. No se listan una a una.,3,https://www.fxstreet.es/brokers/fxpro,/brokers/[slug],brokers,2,next,3,yes,no,http+https
6_checklist_CMS,cubierto_next_dinamico,OK si posts education ES en CMS (slugs en espanol),bajo,bajo,education,/education/[slug],/education/[slug],,,Incluye lecciones curso-forex aplanadas como posts | Agrupadas 137 URLs del scrap bajo este patron [slug]. No se listan una a una.,137,https://www.fxstreet.es/education/acerca-del-curso-forex-201804251422,/education/[slug],education,2,sitefinity,213,no,yes,http+https
6_checklist_CMS,cubierto_next_dinamico,OK si hay posts news ES en CMS,bajo,bajo,news,/news/[slug],/news/[slug],,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/news/{slug},/news/[slug],news,2,next_codigo,0,no,no,https
6_checklist_CMS,cubierto_next_dinamico,OK si hay posts crypto-news ES en CMS,bajo,bajo,crypto,/cryptocurrencies/news/[slug],/cryptocurrencies/news/[slug],,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/cryptocurrencies/news/{slug},/cryptocurrencies/news/[slug],cryptocurrencies,3,next_codigo,0,no,no,https
6_checklist_CMS,cubierto_next_dinamico,OK si hay posts analysis ES en CMS,bajo,bajo,analysis,/analysis/[slug],/analysis/[slug],,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/analysis/{slug},/analysis/[slug],analysis,2,next_codigo,0,no,no,https
6_checklist_CMS,cubierto_next_dinamico,"OK si gateway ES tiene commodities (gold, oil, …)",bajo,bajo,commodities,/commodities/[slug],/commodities/[slug],,,No aparecia en el scrap ES (gold/oil salian por /markets/commodities/...). Misma page Next que EN.,1,https://www.fxstreet.es/commodities/{slug},/commodities/[slug],commodities,2,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK si gateway ES tiene brokers,bajo,bajo,brokers,/brokers,/brokers,,,,1,http://www.fxstreet.es/brokers,/brokers,brokers,1,next|unknown,2,yes,no,http+https
7_ya_cubierto,cubierto_next,OK si gateway ES tiene brokers,bajo,bajo,brokers,/brokers/best,/brokers/best,,,,1,https://www.fxstreet.es/brokers/best,/brokers/best,brokers,2,next,1,yes,no,https
7_ya_cubierto,cubierto_next,OK si gateway ES tiene brokers,bajo,bajo,brokers,/brokers/reviews,/brokers/reviews,,,,1,http://www.fxstreet.es/brokers/reviews,/brokers/reviews,brokers,2,next|unknown,2,yes,no,http+https
7_ya_cubierto,cubierto_next,OK si gateway ES tiene brokers,bajo,bajo,brokers,/brokers/reviews/[slug],/brokers/reviews/[slug],,,Agrupadas 2 URLs del scrap bajo este patron [slug]. No se listan una a una.,2,https://www.fxstreet.es/brokers/reviews/moneta-markets,/brokers/reviews/[slug],brokers,3,next,2,yes,no,http+https
6_checklist_CMS,cubierto_next_dinamico,OK si el gateway ES tiene indicadores; scrap solo mostro nfp,bajo,bajo,macro,/macroeconomics/economic-indicator/[slug],/macroeconomics/economic-indicator/[slug],,,| Next es [slug]; el scrap solo tenia /nfp (cpi y otros indicadores usan la misma page).,1,https://www.fxstreet.es/macroeconomics/economic-indicator/nfp,/macroeconomics/economic-indicator/[slug],macroeconomics,3,sitefinity,2,no,yes,https
6_checklist_CMS,cubierto_next_dinamico,OK si configuration.Propinder tiene slugs ES,bajo,bajo,brokers,/brokers/prop/[slug],/brokers/prop/[slug],,,No aparecia en el scrap ES. Propinder; menu ES enlaza dominio externo propinder.com.,1,https://www.fxstreet.es/brokers/prop/{slug},/brokers/prop/[slug],brokers,3,next_codigo,0,no,no,https
6_checklist_CMS,cubierto_next_dinamico,OK si companies ES en gateway,bajo,medio,company,/company/[slug],/company/[slug],,,279 companies: mayor volumen del scrap; contenido CMS no codigo | Agrupadas 278 URLs del scrap bajo este patron [slug]. No se listan una a una.,278,https://www.fxstreet.es/company/%C3%A1nalix,/company/[slug],company,2,sitefinity|unknown,282,no,yes,http+https
6_checklist_CMS,cubierto_next_dinamico,OK si autores ES en gateway; conservar slugs con acentos,bajo,medio,author,/author/[slug],/author/[slug],,,69 autores; encoding %C3%A1 etc. | Agrupadas 69 URLs del scrap bajo este patron [slug]. No se listan una a una.,69,https://www.fxstreet.es/author/3Blocknews,/author/[slug],author,2,sitefinity|unknown,87,no,yes,http+https
7_ya_cubierto,cubierto_next,OK perfil usuario logado,bajo,bajo,account,/profile,/profile,,,No aparecia en el scrap ES. Ruta existente en app/; incluir en QA del deploy espanol.,1,https://www.fxstreet.es/profile,/profile,profile,1,next_codigo,0,no,no,https
7_ya_cubierto,cubierto_next,OK busqueda,bajo,bajo,search,/search,/search,,,No aparecia en el scrap ES. app/search; indices Algolia deben ser los ES.,1,https://www.fxstreet.es/search,/search,search,1,next_codigo,0,no,no,https
3_urls_EN_en_site_ES,cubierto_next_url_en,En ES 301 /economic-calendar -> /calendario-economico (la page EN sigue montada),bajo,alto,calendario,/economic-calendar,/economic-calendar,/calendario-economico,,No aparecia en el scrap ES (usan /calendario-economico). app/(calendar)/economic-calendar existe en el mismo deploy.,1,https://www.fxstreet.es/economic-calendar,/economic-calendar,economic-calendar,1,next_codigo,0,no,no,https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_mercados,/markets/commodities,/commodities,/commodities,/commodities,redirects.ts EN,1,https://www.fxstreet.es/markets/commodities,/markets/commodities,markets,2,sitefinity,2,no,yes,https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_mercados,/markets/commodities/energy/oil,/commodities/oil,/commodities/oil,/commodities/oil,redirects.ts EN,1,https://www.fxstreet.es/markets/commodities/energy/oil,/markets/commodities/energy/oil,markets,4,sitefinity,2,no,yes,https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_mercados,/markets/commodities/metals/gold,/commodities/gold,/commodities/gold,/commodities/gold,redirects.ts EN,1,https://www.fxstreet.es/markets/commodities/metals/gold,/markets/commodities/metals/gold,markets,4,sitefinity,2,no,yes,https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_mercados,/markets/equities,/equities,/equities,/equities,redirects.ts EN,1,https://www.fxstreet.es/markets/equities,/markets/equities,markets,2,sitefinity,2,no,yes,https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_redirect_en,/cryptocurrencies/rates-charts,/rates-charts,/rates-charts,/rates-charts,redirects.ts EN,1,https://www.fxstreet.es/cryptocurrencies/rates-charts,/cryptocurrencies/rates-charts,cryptocurrencies,2,sitefinity,2,no,yes,https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_redirect_en,/education/latest,/education,/education,/education,redirects.ts EN,1,http://www.fxstreet.es/education/latest,/education/latest,education,2,sitefinity,2,no,yes,http+https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_redirect_en,/rates-charts/chart/station,/rates-charts/chart,/rates-charts/chart,/rates-charts/chart,redirects.ts EN,1,https://www.fxstreet.es/rates-charts/chart/station,/rates-charts/chart/station,rates-charts,3,sitefinity,1,no,yes,https
5_redirects_EN_reutilizables,redirect_en_aplicable,Copiar redirect EN,bajo,bajo,legacy_redirect_en,/rates-charts/indicators/technical-levels,/rates-charts/indicators,/rates-charts/indicators,/rates-charts/indicators,redirects.ts EN,1,https://www.fxstreet.es/rates-charts/indicators/technical-levels,/rates-charts/indicators/technical-levels,rates-charts,3,sitefinity,2,no,yes,https
4_redirects_a_definir,middleware_sitemap,Comprobar rewrite de sitemaps ES,bajo,medio,infra,/sitemap-all.xml,/api/v1/sitemap,,,EN reescribe sitemap.xml a /api/v1/sitemap,1,http://www.fxstreet.es/sitemap-all.xml,/sitemap-all.xml,sitemap-all.xml,1,unknown,2,no,no,http+https
2_decision_producto,no_en_next,Recrear curso multi-unidad o aplanar a posts education,alto,alto,curso_forex,/education/curso-forex/*,/education/curso-forex/*,,,Menu ES enlaza /education/curso-forex; Next solo tiene listing + [slug] | Agrupadas 3 URLs del scrap (home del curso y unidades). No se listan una a una.,3,http://www.fxstreet.es/education/curso-forex,/education/curso-forex/*,education,varia,sitefinity|unknown,4,no,yes,http+https
2_decision_producto,no_en_next,Producto: recrear hub MX o redirect a home/currencies/usdmxn,alto,alto,hub_es_only,/mexico,,/currencies/usdmxn,,Ruta exclusiva ES; menu ES la enlaza,1,http://www.fxstreet.es/mexico,/mexico,mexico,1,sitefinity,2,no,yes,http+https
2_decision_producto,no_en_next,No hay vertical live-video en Next. Redirect a education/youtube o no migrar,alto,alto,live_video,/live-video/*,,/education,,10 URLs en scrap; contenido editorial ES | Agrupadas 10 filas con la misma decision (10 URLs del scrap).,10,https://www.fxstreet.es/live-video,/live-video/*,live-video,varia,sitefinity,14,no,yes,http+https
